iter	RMSE
0	1976477.754
1	1830026.385
2	1714925.149
3	1619100.808
4	1543521.932
5	1483100.275
6	1432561.281
7	1389873.208
8	1355089.969
9	1324923.35
10	1303029.725
11	1281062.268
12	1262906.783
13	1248916.189
14	1237812.116
15	1227815.384
16	1217628.701
17	1208305.604
18	1201367.545
19	1195824.379
20	1188490.076
21	1183915.816
22	1179065.388
23	1174367.499
24	1170281.814
25	1165873.999
26	1161831.876
27	1158280.466
28	1153857.171
29	1150677.519
30	1148407.663
31	1145655.37
32	1143769.737
33	1141099.505
34	1135245.476
35	1133028.771
36	1130815.094
37	1128384.342
38	1126377.019
39	1124019.289
40	1119923.766
41	1118530.128
42	1116483.235
43	1115529.638
44	1113555.293
45	1111897.78
46	1110296.434
47	1108362.055
48	1105456.37
49	1103651.358
50	1102164.121
51	1100535.27
52	1099269
53	1097390.666
54	1095787.914
55	1093916.153
56	1091861.18
57	1090204.966
58	1089068.239
59	1086732.682
60	1085764.609
61	1083606.826
62	1081714.023
63	1080656.491
64	1079200.691
65	1077637.337
66	1076643.739
67	1075650.802
68	1074425.386
69	1073196.562
70	1071962.279
71	1070846.047
72	1069226.629
73	1068284.294
74	1066364.151
75	1065279.632
76	1064489.222
77	1063140.011
78	1061872.766
79	1060824.8
80	1059847.822
81	1058965.633
82	1057871.296
83	1056450.804
84	1055076.131
85	1054225.924
86	1053287.875
87	1052356.555
88	1051670.135
89	1050918.54
90	1049716.529
91	1048693.104
92	1047842.284
93	1046711.525
94	1045891.473
95	1044958.845
96	1044213.771
97	1042824.537
98	1041523.685
99	1040618.539
100	1039778.774
101	1039116.366
102	1038302.314
103	1037714.787
104	1036788.83
105	1036049.475
106	1035394.058
107	1034636.964
108	1033787.298
109	1032553.803
110	1031930.34
111	1031231.496
112	1030689.252
113	1029675.14
114	1028842.068
115	1027888.44
116	1027387.879
117	1026795.683
118	1026206.935
119	1025313.808
120	1024585.827
121	1023776.091
122	1023224.136
123	1022628.262
124	1021516.585
125	1020845.85
126	1020260.308
127	1019606.087
128	1018714
129	1018106.917
130	1016985.064
131	1016425.609
132	1015967.032
133	1015309.592
134	1014408.45
135	1013745.02
136	1013293.215
137	1012381.099
138	1011851.808
139	1011056.871
140	1010547.348
141	1009927.851
142	1008885.918
143	1008427.687
144	1007908.852
145	1007311.021
146	1006429.24
147	1005918.55
148	1005337.818
149	1004678.292
150	1004204.729
151	1003705.313
152	1003240.176
153	1002775.739
154	1002238.235
155	1001565.804
156	1000741.095
157	1000239.879
158	999629.3889
159	998989.5999
160	998646.6439
161	997916.6661
162	997253.4328
163	996597.5867
164	996139.1953
165	995576.2761
166	994900.2139
167	994144.8492
168	993445.2879
169	992927.3816
170	992581.7706
171	991889.1688
172	991259.3675
173	990474.9014
174	990096.4922
175	989673.9816
176	989181.9133
177	988753.7314
178	988370.2442
179	987819.6836
180	987280.4136
181	986602.0838
182	986083.6407
183	985396.8105
184	984888.7144
185	984104.7274
186	983441.6147
187	983214.4624
188	982663.3226
189	982144.942
190	981530.2656
191	980790.3082
192	980478.8134
193	979983.6949
194	979506.6125
195	979106.3744
196	978723.045
197	978259.626
198	977689.6133
199	977114.7758
200	976626.0321
201	976119.3611
202	975581.5866
203	974956.5384
204	974577.9565
205	974253.4428
206	973831.3145
207	973397.4379
208	972856.364
209	972544.408
210	972026.9171
211	971602.0647
212	970973.9778
213	970394.0898
214	970009.5134
215	969483.175
216	969034.4702
217	968508.2868
218	968151.5438
219	967620.6752
220	967091.2908
221	966601.6053
222	966187.7307
223	965710.7595
224	965137.2504
225	964816.7982
226	964478.5021
227	963814.2323
228	963114.1055
229	962570.4188
230	962000.8456
231	961412.5613
232	961078.7793
233	960478.9672
234	959845.9128
235	959284.8464
236	958810.0761
237	958600.2436
238	958121.67
239	957634.8833
240	957038.3746
241	956707.5225
242	956328.8311
243	955822.1247
244	955373.2197
245	955041.7406
246	954618.116
247	953954.653
248	953435.1366
249	953091.2123
250	952790.9711
251	952324.1274
252	951861.4383
253	951630.4563
254	951102.0341
255	950549.6287
256	950077.6976
257	949603.2507
258	949076.1613
259	948632.7427
260	948196.8824
261	947678.3594
262	947262.5686
263	946907.4173
264	946509.0824
265	946212.1305
266	945862.3772
267	945478.3997
268	945159.7411
269	944882.7435
270	944605.2883
271	944368.0461
272	944000.9535
273	943669.4758
274	943254.6371
275	942742.4434
276	942387.5794
277	942146.6987
278	941836.4028
279	941423.814
280	941033.635
281	940637.6766
282	940301.4397
283	939957.0302
284	939334.8516
285	938947.4969
286	938633.7559
287	938281.2188
288	938004.956
289	937633.7349
290	937314.6233
291	936934.2128
292	936626.498
293	936273.1717
294	935823.5211
295	935535.198
296	935075.4064
297	934759.0912
298	934415.1875
299	933977.2007
